Drug_A,Drug_B,Side_Effect,Severity_Score,Severity
prednisolone,bromfenac,Anaemia,1.42857,Minor
pegfilgrastim,Doxorubicin,Iron deficiency anaemia,0.909091,Minor
clopidogrel,Mirtazapine,Iron deficiency anaemia,3.33333,Moderate
Ethinyl Estradiol,Dicyclomine,Iron deficiency anaemia,3.33333,Moderate
dorzolamide,Trazodone,Haemorrhagic anaemia,10.0,Major
Nizatidine,Fentanyl,Anaemia,15.0,Major
Ethinyl Estradiol,anastrozole,Myocardial infarction,10.0,Major
Ascorbic Acid,loxoprofen,Anaemia,3.33333,Moderate
tinzaparin,Clavulanate,Anaemia,4.28571,Moderate
tamsulosin,Methotrexate,Anaemia,1.48936,Minor
salmon oil,Omeprazole,Chest pain,1.66667,Minor
cyamemazine,Dihydroergotamine,Vision blurred,10.0,Major
pazopanib,Diphenoxylate,Dizziness,2.0,Moderate
Acetaminophen,glycopyrronium,Diarrhoea,6.0,Major
Omeprazole,Tocopherol,Anaemia,1.42857,Minor
salmeterol,Betamethasone,Anaemia,4.0,Moderate
Papaverine,Levofloxacin,Anaemia,10.0,Major
Somatropin,Nandrolone,Dyspnoea,1.42857,Minor
venlafaxine,Progesterone,Anaemia,1.53846,Minor
Alendronate,mesalamine,Anaemia,3.33333,Moderate
Amisulpride,Haloperidol,Anaemia,0.4,Minor
anastrozole,Levalbuterol,Anaemia,10.0,Major
fluticasone,Vitamin A,Anaemia,1.93878,Minor
oxybutynin,Vitamin D,Iron deficiency anaemia,1.25,Minor
Albuterol,Iohexol,Neutropenia,20.0,Major
Sumatriptan,varenicline,Anaemia,0.833333,Minor
Prilocaine,Codeine,Pancytopenia,10.0,Major
Famotidine,Fiber,Dyspnoea,2.5,Moderate
Fentanyl,Verapamil,Anaemia,0.434783,Minor
Ondansetron,Etodolac,Anaemia,20.0,Major
Furosemide,Mannitol,Anaemia,1.75439,Minor
Fluoxetine,nebivolol,Anaemia,1.0,Minor
Nicorandil,Carbidopa,Eosinophilia,20.0,Major
Midazolam,Iopamidol,Tachycardia,7.5,Major
ziconotide,Ramipril,Dyspnoea,3.33333,Moderate
tinzaparin,Pentoxifylline,Dyspnoea,1.66667,Minor
Pentoxifylline,Meclizine,Bradycardia,10.0,Major
Glucose,Digitoxin,Atrial fibrillation,5.0,Major
Acetylcysteine,Sodium Chloride,Anaemia,1.6,Minor
Amantadine,Alendronate,Anaemia,1.25,Minor
fingolimod,Amphetamine,Tachycardia,10.0,Major
azosemide,Dobutamine,Anaemia,3.33333,Moderate
Ritonavir,Insulin Lispro,Atrioventricular block complete,20.0,Major
fluticasone,Taurine,Aphagia,30.0,Major
paliperidone,Ondansetron,Dizziness,10.0,Major
Sulfamethoxazole,Filgrastim,Iron deficiency anaemia,1.66667,Minor
Enalapril,Mycophenolic Acid,Anaemia,6.0,Major
Spironolactone,Acenocoumarol,Anaemia,4.5098,Moderate
tadalafil,tamsulosin,Anaemia,0.9375,Minor
abciximab,Nicotine,Anaemia,3.33333,Moderate
Metolazone,Flecainide,Death,1.25,Minor
duloxetine,Eszopiclone,Anaemia,1.25,Minor
Nizatidine,Triamcinolone,Anaemia,6.66667,Major
Atenolol,Dobutamine,Anaemia,3.33333,Moderate
Tramadol,Clonazepam,Iron deficiency anaemia,3.84615,Moderate
candesartan,desmopressin,Anaemia,3.33333,Moderate
Psyllium,Interferon beta-1a,Anaemia,5.0,Major
ebastine,Theophylline,Dyspnoea,1.0,Minor
Metoprolol,arformoterol,Anaemia,6.66667,Major
Ibuprofen,norgestimate,Anaemia,1.66667,Minor
ropivacaine,Dexmedetomidine,Bradycardia,20.0,Major
Calcium Gluconate,Tocopherol,Lymphadenopathy,10.0,Major
Meprobamate,Clonazepam,Anaemia,1.33333,Minor
Tacrolimus,sildenafil,Anaemia,1.66667,Minor
Guanfacine,Lorazepam,Thrombocytopenia,10.0,Major
fludarabine,mycophenolate mofetil,Anaemia,0.892857,Minor
Biperiden,Levofloxacin,Anaemia,3.33333,Moderate
Mitoxantrone,Cytarabine,Anaemia,2.92035,Moderate
Cefazolin,Melphalan,Anaemia,3.33333,Moderate
ezetimibe,"Albumin Human, USP",Anaemia,15.0,Major
saxagliptin,Vitamin D,Anaemia,1.53846,Minor
Diphenoxylate,Calcium Gluconate,Anaemia,5.0,Major
Levetiracetam,bimatoprost,Dizziness,6.66667,Major
Bisoprolol,temozolomide,Anaemia,10.0,Major
tulobuterol,zolpidem,Anaemia,2.5,Moderate
erlotinib,cetuximab,Anaemia,0.833333,Minor
Oxycodone,doripenem,Anaemia,3.33333,Moderate
Pseudoephedrine,Propoxyphene,Anaemia,3.52941,Moderate
Estradiol,Estrone,Dyspnoea,1.11111,Minor
Albendazole,Omeprazole,Anaemia,10.0,Major
tiagabine,Clonidine,Dizziness,0.909091,Minor
Alfacalcidol,lubiprostone,Dyspnoea,3.33333,Moderate
Ibuprofen,Laronidase,Dyspnoea,2.85714,Moderate
Enoxaparin,Phenytoin,Iron deficiency anaemia,3.33333,Moderate
Hydrocortisone,trimethobenzamide,Anaemia,25.0,Major
nateglinide,celecoxib,Anaemia,3.33333,Moderate
ASPARAGINASE,Daunorubicin,Anaemia,0.793651,Minor
tocilizumab,Indomethacin,Anaemia,1.25,Minor
Etanercept,rituximab,Anaemia,1.63636,Minor
Methylphenidate,Piroxicam,Dyspnoea,2.5,Moderate
Enalapril,Amisulpride,Dizziness,6.66667,Major
topiramate,Carbamazepine,Anaemia,0.65,Minor
Petrolatum,Metoprolol,Anaemia,8.0,Major
Sulfasalazine,atorvastatin,Anaemia,1.50943,Minor
Propranolol,Valproate,Iron deficiency anaemia,3.33333,Moderate
Estradiol,atorvastatin,Iron deficiency anaemia,2.0,Moderate
Lidocaine,clopidogrel,Iron deficiency anaemia,5.0,Major
Pseudoephedrine,Valproate,Anaemia,1.25,Minor
topiramate,pregabalin,Iron deficiency anaemia,1.66667,Minor
Ondansetron,Baclofen,Iron deficiency anaemia,3.33333,Moderate
Furosemide,Metoprolol,Intentional product misuse,1.52,Minor
Oseltamivir,Megestrol,Anaemia,5.0,Major
prednisolone,Amiloride,Pancytopenia,2.0,Moderate
Thiamine,Acyclovir,Anaemia,3.0,Moderate
Flecainide,Gemfibrozil,Atrial fibrillation,5.0,Major
quetiapine,Tiapride,Pancytopenia,10.0,Major
Atropine,montelukast,Anaemia,10.0,Major
Fenofibrate,Amiodarone,Anaemia,5.76923,Major
Prochlorperazine,meloxicam,Anaemia,10.7692,Major
Ceftriaxone,vitamin D3,Anaemia,3.33333,Moderate
Phenylephrine,tamsulosin,Anaemia,1.11111,Minor
Simvastatin,Loperamide,Iron deficiency anaemia,2.85714,Moderate
erlotinib,Sodium Bicarbonate,Dyspnoea,3.33333,Moderate
zolpidem,Meclizine,Anaemia,4.28571,Moderate
Carbocysteine,bicalutamide,Pancytopenia,10.0,Major
Opium,Hydrocodone,Dyspnoea,1.25,Minor
Vitamin E,Cyclosporine,Anaemia,2.85714,Moderate
dalfampridine,Zinc,Palpitations,5.0,Major
rivastigmine,Amiodarone,Anaemia,16.25,Major
frovatriptan,Methotrexate,Syncope,3.33333,Moderate
Cyclizine,letrozole,Dyspnoea,1.42857,Minor
terbinafine,Calcium,Anaemia,10.0,Major
insulin detemir,lenalidomide,Anaemia,0.909091,Minor
armodafinil,fingolimod,Anaemia,1.17647,Minor
quetiapine,Botulinum Toxin Type A,Cardiac disorder,3.33333,Moderate
oxybutynin,Eszopiclone,Anaemia,1.66667,Minor
Estradiol,Metformin,Iron deficiency anaemia,4.0,Moderate
tamsulosin,Cyclophosphamide,Anaemia,6.25,Major
Oxymorphone,Bupropion,Anaemia,2.5,Moderate
parecoxib,Ranitidine,Nausea,1.66667,Minor
Ibuprofen,Isosorbide Dinitrate,Anaemia,1.42857,Minor
tizanidine,Vitamin B Complex,Anaemia,4.0,Moderate
Domperidone,Dicyclomine,Anaemia,5.0,Major
Lithium Carbonate,modafinil,Anaemia,1.42857,Minor
Acetaminophen,Trifluoperazine,Anaemia,3.33333,Moderate
Budesonide,sildenafil,Anaemia,4.54545,Moderate
thyroid (USP),Chlordiazepoxide,Anaemia,6.66667,Major
Hydrocodone,Bisoprolol,Anaemia,8.0,Major
Morphine,Morphine Liposomal,Chest pain,3.33333,Moderate
Fentanyl,etravirine,Dizziness,2.0,Moderate
Immunoglobulin G,Trimethoprim,Anaemia,2.5,Moderate
tinzaparin,Tranexamic Acid,Neutropenia,20.0,Major
Betamethasone,Desvenlafaxine,Dyspnoea,3.33333,Moderate
Warfarin,arformoterol,Anaemia,3.33333,Moderate
Amlodipine,Estramustine,Anaemia,10.0,Major
Nystatin,Amphotericin B,Anaemia,1.42857,Minor
Oseltamivir,Quinine,Dizziness,13.3333,Major
raltegravir,zopiclone,Anaemia,1.42857,Minor
POLYETHYLENE GLYCOL 3350,rosuvastatin,Iron deficiency anaemia,3.33333,Moderate
"Lymphocyte Immune Globulin, Anti-Thymocyte Globulin",Methylprednisolone,Anaemia,4.28571,Moderate
Amoxicillin,oxcarbazepine,Anaemia,5.0,Major
Ascorbic Acid,Bisacodyl,Anaemia,10.0,Major
Alendronate,Phenazopyridine,Iron deficiency anaemia,10.0,Major
Ferrous fumarate,Amoxicillin,Anaemia,1.42857,Minor
Medroxyprogesterone,Lisinopril,Iron deficiency anaemia,3.33333,Moderate
Cyanocobalamin Co57,Vitamin E,Cardiac disorder,3.33333,Moderate
Lactulose,Ampicillin,Anaemia,10.0,Major
Mineral Oil,Docusate,Anaemia,3.33333,Moderate
Magnesium Chloride,Simvastatin,Anaemia,1.07143,Minor
cyclobenzaprine,darbepoetin alfa,Anaemia,35.0,Major
fluticasone,Risperidone,Anaemia,1.33333,Minor
Procyclidine,Carbamazepine,Anaemia,2.5,Moderate
etoricoxib,pregabalin,Anaemia,3.75,Moderate
Etanercept,Hydroxyzine,Anaemia,1.66667,Minor
Haloperidol,Hydroxyzine,Iron deficiency anaemia,3.33333,Moderate
Apomorphine,cyclobenzaprine,Pancytopenia,10.0,Major
lenograstim,Acetylcysteine,Pancytopenia,10.0,Major
Teriparatide,cyclobenzaprine,Anaemia,1.05263,Minor
Diazepam,zonisamide,Anaemia,0.869565,Minor
Doxylamine,Fentanyl,Anaemia,3.33333,Moderate
Medroxyprogesterone,Indapamide,Dyspnoea,1.66667,Minor
zoledronic acid,Fluocinonide,Anaemia,5.0,Major
Terazosin,azelastine,Anaemia,7.5,Major
vilanterol,Levalbuterol,Dizziness,10.0,Major
Levodopa,Carboplatin,Jaundice,10.0,Major
Calcium,adalimumab,Iron deficiency anaemia,0.526316,Minor
flunisolide,Atenolol,Anaemia,4.28571,Moderate
Terbutaline,Mirtazapine,Anaemia,5.0,Major
tofacitinib,gabapentin,Anaemia,1.0,Minor
Ethambutol,micafungin,Hypoglycaemia,10.0,Major
Carisoprodol,Bromazepam,Drug rash with eosinophilia and systemic symptoms,10.0,Major
Buspirone,Cyclosporine,Acute myocardial infarction,10.0,Major
iloperidone,Carbamazepine,Gynaecomastia,10.0,Major
Fosinopril,olanzapine,Anaemia,1.0,Minor
Vitamin B 12,Pramipexole,Anaemia,0.909091,Minor
lercanidipine,Levofloxacin,Anaemia,5.0,Major
"Estrogens, Conjugated (USP)",dalfampridine,Anaemia,1.42857,Minor
Magnesium Hydroxide,Calcium Chloride,Anaemia,5.0,Major
Oxycodone,natalizumab,Anaemia,3.52941,Moderate
Hydrochlorothiazide,ertapenem,Multiple myeloma,10.0,Major
pioglitazone,Ticlopidine,Anaemia,3.33333,Moderate
Methylprednisolone,Glatiramer,Anaemia,0.769231,Minor
Oseltamivir,loxoprofen,Pancytopenia,1.66667,Minor
Carisoprodol,belimumab,Cardiac disorder,3.33333,Moderate
Colchicine,paricalcitol,Anaemia,3.33333,Moderate
meropenem,imidapril,Dyspnoea,1.25,Minor
Epinephrine,Mupirocin,Anaemia,13.3333,Major
Vitamin A,Lactase,Dizziness,3.33333,Moderate
Diazepam,Thiamylal,Drug rash with eosinophilia and systemic symptoms,10.0,Major
Vitamin A,Estrogens,Dyspnoea,2.0,Moderate
Dipyridamole,Loratadine,Anaemia,1.42857,Minor
telaprevir,dexlansoprazole,Anaemia,16.6667,Major
olanzapine,Doxazosin,Anaemia,1.66667,Minor
Roflumilast,Esomeprazole,Bradycardia,1.42857,Minor
Flurazepam,Doxazosin,Atrial flutter,10.0,Major
Bupivacaine,sevoflurane,Anaemia,1.66667,Minor
Tramadol,Folic Acid,Iron deficiency anaemia,2.85714,Moderate
nebivolol,irbesartan,Anaemia,5.0,Major
Enalapril,tegaserod,Anaemia,10.0,Major
Amlodipine,Cortisone,Anaemia,4.0,Moderate
Paroxetine,Piroxicam,Anaemia,2.85714,Moderate
arbekacin,Piperacillin,Anaemia,3.33333,Moderate
Gliclazide,pitavastatin,Dizziness,3.33333,Moderate
Norepinephrine,Diazepam,Anaemia,2.5,Moderate
Levofloxacin,orlistat,Anaemia,5.0,Major
formoterol,nebivolol,Anaemia,2.0,Moderate
Capsaicin,Bisoprolol,Nausea,1.66667,Minor
aripiprazole,tamsulosin,Anaemia,1.66667,Minor
ramelteon,Estazolam,Anaemia,6.66667,Major
Asenapine,Trazodone,Anaemia,0.769231,Minor
Perindopril,celecoxib,Anaemia,1.42857,Minor
polyethylene glycol 9000,Sodium Oxybate,Anaemia,3.33333,Moderate
Prednisone,Dipyrone,Anaemia,6.11111,Major
Rilpivirine,Ritonavir,Dizziness,1.11111,Minor
metaxalone,Verapamil,Anaemia,1.11111,Minor
Amlodipine,"Influenza A virus vaccine, A-California-7-2009 (H1N1)-like virus",Atrial fibrillation,5.0,Major
Paroxetine,Methotrexate,Anaemia,2.0,Moderate
Raloxifene,atomoxetine,Dizziness,5.0,Major
bevacizumab,etoricoxib,Cardiac arrest,10.0,Major
Tramadol,Clonidine,Anaemia,3.33333,Moderate
valsartan,mercaptopurine,Anaemia,3.33333,Moderate
Norethindrone,Omeprazole,Anaemia,0.555556,Minor
Ofloxacin,Verapamil,Anaemia,3.33333,Moderate
quetiapine,Methylphenidate,Anaemia,0.681818,Minor
Ciprofloxacin,levocetirizine,Anaemia,3.33333,Moderate
Minocycline,celecoxib,Anaemia,3.75,Moderate
mesalamine,linaclotide,Anaemia,0.714286,Minor
Dexamethasone,clobazam,Anaemia,3.0,Moderate
Perindopril,Methotrexate,Anaemia,0.555556,Minor
Trichlormethiazide,Ursodeoxycholate,Anaemia,3.33333,Moderate
Methadone,Codeine,Anaemia,0.740741,Minor
Folic Acid,ramucirumab,Anaemia,5.0,Major
Bromhexine,Haloperidol,Anaemia,3.33333,Moderate
Risedronate,icosapent ethyl,Anaemia,5.0,Major
Doxycycline,Mupirocin,Anaemia,4.28571,Moderate
alemtuzumab,Baclofen,Anaemia,5.0,Major
Pentamidine,Albuterol,Anaemia,2.0,Moderate
natalizumab,Insulin Lispro,Syncope,4.0,Moderate
Ibuprofen,Lidocaine,Anaemia,3.05556,Moderate
Ceftriaxone,mycophenolate mofetil,Anaemia,8.09524,Major
rabeprazole,dexchlorpheniramine,Pancytopenia,20.0,Major
danaparoid,Acyclovir,Leukopenia,5.0,Major
brimonidine,Mineral Oil,Atrial fibrillation,35.0,Major
ipilimumab,levothyroxine,Anaemia,1.81818,Minor
Furosemide,clorazepate,Anaemia,4.34783,Moderate
"Estrogens, Conjugated (USP)",rivaroxaban,Anaemia,10.0,Major
metaproterenol,Triamterene,Pancytopenia,10.0,Major
saxagliptin,Hydroxyzine,Hypoglycaemia,20.0,Major
Carisoprodol,Metoprolol,Anaemia,2.31707,Moderate
formoterol,Oxygen,Iron deficiency anaemia,5.0,Major
Amlodipine,Amiloride,Anaemia,3.47826,Moderate
Paroxetine,dasatinib,Anaemia,16.6667,Major
Warfarin,Sodium Chloride,Anaemia,4.91525,Moderate
rufinamide,felbamate,Dizziness,1.11111,Minor
vitamin D3,milnacipran,Nausea,2.5,Moderate
cyclobenzaprine,Amphetamine,Tachycardia,20.0,Major
lamotrigine,Methotrexate,Anaemia,0.833333,Minor
Omega-3 Acid Ethyl Esters (USP),levothyroxine,Iron deficiency anaemia,2.0,Moderate
Lisinopril,Vitamin K 2,Anaemia,6.66667,Major
Vitamin E,Raloxifene,Iron deficiency anaemia,10.0,Major
Simvastatin,Phenylpropanolamine,Bradycardia,10.0,Major
Clindamycin,standardized senna concentrate,Anaemia,12.5,Major
ado-trastuzumab emtansine,Fluorouracil,Thrombocytopenia,10.0,Major
Nordazepam,Citalopram,Anaemia,1.66667,Minor
Spironolactone,ranibizumab,Anaemia,2.5,Moderate
coenzyme Q10,Labetalol,Anaemia,5.0,Major
moxonidine,Digitoxin,Anaemia,15.0,Major
Pseudoephedrine,pregabalin,Anaemia,5.88235,Major
Mineral Oil,Metronidazole,Anaemia,3.33333,Moderate
Guaifenesin,Thiamine,Anaemia,6.66667,Major
imatinib,"Insulin, Aspart, Human",Anaemia,10.0,Major
Furosemide,Albuterol,Deficiency anaemia,3.33333,Moderate
Hydroxocobalamin,Bumetanide,Dyspnoea,2.0,Moderate
emtricitabine,moxifloxacin,Anaemia,10.0,Major
bevacizumab,Linagliptin,Anaemia,10.0,Major
paliperidone,Hydroxyzine,Anaemia,0.714286,Minor
coenzyme Q10,aliskiren,Anaemia,5.0,Major
lapatinib,Lidocaine,Anaemia,3.33333,Moderate
moxonidine,Isosorbide,Anaemia,3.33333,Moderate
Vitamin A,rasagiline,Dizziness,3.33333,Moderate
Tranexamic Acid,Oxytocin,Anaemia,3.33333,Moderate
Budesonide,Sodium Chloride,Anaemia,1.33333,Minor
Niacin,Buspirone,Anaemia,1.66667,Minor
Bumetanide,natalizumab,Rectal haemorrhage,10.0,Major
clopidogrel,pitavastatin,Anaemia,0.454545,Minor
Linseed Oil,nabumetone,Nausea,1.42857,Minor
Potassium,Methylcellulose,Tachycardia,10.0,Major
Indomethacin,adalimumab,Anaemia,1.29032,Minor
Aspirin,regadenoson,Anaemia,0.666667,Minor
Dipyridamole,Acyclovir,Anaemia,5.0,Major
ropinirole,cevimeline,Dyspnoea,4.0,Moderate
rizatriptan,Ondansetron,Anaemia,1.42857,Minor
Gentamicin,Clonidine,Anaemia,12.5,Major
Sumatriptan,eletriptan,Anaemia,2.35294,Moderate
Folic Acid,Cefazolin,Anaemia,4.28571,Moderate
Magnesium,rivaroxaban,Anaemia,1.42857,Minor
Loperamide,meloxicam,Anaemia,0.909091,Minor
Warfarin,argatroban,Anaemia,4.0,Moderate
Caffeine,Triamcinolone,Agranulocytosis,10.0,Major
Carbocysteine,celecoxib,Anaemia,4.0,Moderate
Warfarin,orlistat,Increased tendency to bruise,10.0,Major
infliximab,Prazepam,Chest pain,3.33333,Moderate
Oxazepam,adalimumab,Anaemia,1.66667,Minor
Methocarbamol,levocetirizine,Anaemia,3.33333,Moderate
Simvastatin,metaxalone,Anaemia,2.72727,Moderate
gadoteridol,Gadopentetate Dimeglumine,Anaemia,0.181818,Minor
Mirtazapine,Somatropin,Cardiac arrest,3.33333,Moderate
Cholesterol,Clonazepam,Atrial fibrillation,3.33333,Moderate
Fenofibrate,Digitoxin,Fatigue,2.0,Moderate
Chlorthalidone,Prednisone,Anaemia,4.16667,Moderate
Lidocaine,Carbamazepine,Anaemia,4.61538,Moderate
thyroid (USP),Amitriptyline,Anaemia,3.75,Moderate
fluticasone,Cetirizine,Iron deficiency anaemia,1.66667,Minor
lercanidipine,Etoposide,Syncope,23.3333,Major
Sulfasalazine,levocetirizine,Diarrhoea,1.11111,Minor
Diclofenac,xylometazoline,Anaemia,3.33333,Moderate
Lovastatin,Glatiramer,Dizziness,2.0,Moderate
Magnesium,Metoprolol,Iron deficiency anaemia,4.0,Moderate
Trimethoprim,rituximab,Iron deficiency anaemia,1.0,Minor
Aspirin,insulin detemir,Iron deficiency anaemia,1.42857,Minor
quetiapine,repaglinide,Anaemia,0.909091,Minor
Gliclazide,benfluorex,Anaemia,5.0,Major
Morphine,Metoclopramide,Iron deficiency anaemia,1.53846,Minor
rosiglitazone,Methocarbamol,Anaemia,5.0,Major
quetiapine,docetaxel,Anaemia,13.3333,Major
cyclobenzaprine,Paclitaxel,Iron deficiency anaemia,20.0,Major
Hydrochlorothiazide,Spironolactone,Iron deficiency anaemia,5.0,Major
donepezil,Albuterol,Iron deficiency anaemia,3.33333,Moderate
pegfilgrastim,benzonatate,Anaemia,20.0,Major
Etanercept,Vancomycin,Anaemia,2.5,Moderate
Furosemide,boceprevir,Anaemia,14.1176,Major
Glyburide,Metolazone,Iron deficiency anaemia,5.0,Major
Glyburide,latanoprost,Anaemia,1.53846,Minor
coenzyme Q10,dofetilide,Anaemia,3.33333,Moderate
Ondansetron,Cocaine,Pain,1.66667,Minor
Ramipril,Midodrine,Anaemia,3.33333,Moderate
ferrous sulfate,fondaparinux,Anaemia,45.0,Major
Temazepam,Ergocalciferol,Anaemia,1.42857,Minor
ropinirole,Valproate,Anaemia,3.33333,Moderate
pioglitazone,Psyllium,Anaemia,5.0,Major
Calcium Citrate,Pravastatin,Anaemia,1.81818,Minor
Acebutolol,Bromazepam,Anaemia,1.66667,Minor
Methylprednisolone,moexipril,Dizziness,5.0,Major
urapidil,sunitinib,Anaemia,15.0,Major
vortioxetine,Alprazolam,Dizziness,3.33333,Moderate
micafungin,Doxorubicin,Anaemia,20.0,Major
Magnesium Sulfate,Potassium Chloride,Anaemia,4.13043,Moderate
Piperacillin,Soybean Oil,Anaemia,3.33333,Moderate
Nicorandil,Lisinopril,Anaemia,1.25,Minor
Heptaminol,Paroxetine,Bradycardia,10.0,Major
Diclofenac,adalimumab,Iron deficiency anaemia,1.53846,Minor
Phenytoin,Fludrocortisone,Anaemia,10.0,Major
Spironolactone,Oxytocin,Anaemia,3.33333,Moderate
Aspirin,certoparin,Anaemia,6.66667,Major
geranylgeranylacetone,Pravastatin,Anaemia,1.66667,Minor
Hydrochlorothiazide,Calcium Gluconate,Anaemia,1.73913,Minor
Diosmin,Clonidine,Syncope,3.33333,Moderate
Escitalopram,Carbamazepine,Anaemia,1.83673,Minor
quinapril,Cocaine,Death,1.66667,Minor
Bacitracin,Sodium Bicarbonate,Dyspnoea,1.66667,Minor
Estradiol,ranolazine,Dyspnoea,1.66667,Minor
Nortriptyline,Galantamine,Anaemia,3.33333,Moderate
Omeprazole,Evening primrose oil,Dizziness,1.66667,Minor
Econazole,Prazepam,Lymphopenia,10.0,Major
Nicorandil,febuxostat,Atrial fibrillation,5.0,Major
meropenem,Phenytoin,Anaemia,0.909091,Minor
montelukast,ciclesonide,Anaemia,0.192308,Minor
Hyoscyamine,Solifenacin,Dizziness,2.0,Moderate
Fluvoxamine,Clonazepam,Anaemia,1.0,Minor
Vitamin E,vardenafil,Lymphoedema,10.0,Major
Promethazine,Ethanol,Coagulopathy,2.0,Moderate
omalizumab,Calcium,Anaemia,1.66667,Minor
Phenprocoumon,Methotrexate,Anaemia,4.28571,Moderate
Diazepam,Cefazolin,Anaemia,3.33333,Moderate
Morphine,dofetilide,Anaemia,5.0,Major
pantoprazole,Canrenoate,Anaemia,1.25,Minor
Dextromethorphan,Valproate,Anaemia,1.42857,Minor
anagrelide,deferasirox,Anaemia,3.33333,Moderate
gatifloxacin,pamidronate,Anaemia,33.3333,Major
pomalidomide,Baclofen,Peripheral swelling,10.0,Major
meropenem,Gliclazide,Anaemia,3.33333,Moderate
lamotrigine,oxcarbazepine,Iron deficiency anaemia,2.0,Moderate
Polymyxin B,micafungin,Anaemia,4.28571,Moderate
infliximab,Verapamil,Anaemia,1.0,Minor
Immunoglobulin G,tiotropium,Anaemia,3.75,Moderate
oxybutynin,Primidone,Anaemia,6.66667,Major
pantoprazole,Cephalexin,Iron deficiency anaemia,4.0,Moderate
latanoprost,Clonazepam,Anaemia,4.70588,Moderate
olanzapine,Vitamin B 12,Anaemia,5.71429,Major
Clotrimazole,Alendronate,Anaemia,4.28571,Moderate
Ibuprofen,Tenofovir,Anaemia,6.0,Major
Etanercept,tofacitinib,Anaemia,2.22222,Moderate
Isosorbide,Primidone,Haemorrhagic anaemia,10.0,Major
Lithium Carbonate,zolpidem,Anaemia,1.04478,Minor
Hydrocortisone,linaclotide,Dyspnoea,0.833333,Minor
infliximab,Clobetasol,Anaemia,1.42857,Minor
brinzolamide,nepafenac,Dizziness,3.33333,Moderate
Leuprolide,Promethazine,Anaemia,1.11111,Minor
peginterferon alfa-2a,Flunitrazepam,Anaemia,5.0,Major
Fluoxetine,Amlodipine,Iron deficiency anaemia,5.55556,Major
Isradipine,pregabalin,Thrombotic thrombocytopenic purpura,10.0,Major
salmon oil,Glucosamine,Dizziness,3.33333,Moderate
zolpidem,Bromazepam,Anaemia,1.68539,Minor
Tolmetin,Ibuprofen,Oedema peripheral,10.0,Major
infliximab,Piroxicam,Anaemia,1.66667,Minor
Nadolol,cetuximab,Dyspnoea,2.5,Moderate
Cephalexin,nebivolol,Anaemia,3.33333,Moderate
Ifosfamide,rituximab,Anaemia,4.34783,Moderate
Bisoprolol,levothyroxine,Iron deficiency anaemia,2.94118,Moderate
telmisartan,sildenafil,Anaemia,1.42857,Minor
dihydrocodeine,leflunomide,Anaemia,2.5,Moderate
Naproxen,nateglinide,Anaemia,6.66667,Major
Clonazepam,Lisdexamfetamine,Anaemia,0.833333,Minor
Phenazopyridine,Dicyclomine,Anaemia,5.0,Major
Clobetasol,Promethazine,Anaemia,12.0,Major
Hydrochlorothiazide,Trimebutine,Dyspnoea,1.66667,Minor
Calcium Carbonate,coenzyme Q10,Anaemia,1.0,Minor
Hydrochlorothiazide,fingolimod,Anaemia,0.909091,Minor
linezolid,Diltiazem,Anaemia,8.57143,Major
thyroid (USP),benazepril,Anaemia,2.5,Moderate
Levodopa,Vitamin A,Anaemia,8.0,Major
Dutasteride,eculizumab,Anaemia,3.33333,Moderate
Escitalopram,tegaserod,Anaemia,1.0,Minor
meropenem,Glutamine,Neutropenia,10.0,Major
Glyburide,saxagliptin,Anaemia,0.555556,Minor
Cortisone,Ibuprofen,Anaemia,0.714286,Minor
tizanidine,fingolimod,Anaemia,1.11111,Minor
Indapamide,metaxalone,Lymphadenopathy,10.0,Major
Nitrendipine,Amiodarone,Jaundice,10.0,Major
brimonidine,Acetaminophen,Iron deficiency anaemia,15.0,Major
olanzapine,nilotinib,Dyspnoea,2.5,Moderate
Isosorbide,placebo,Anaemia,1.42857,Minor
efavirenz,Sertraline,Anaemia,1.66667,Minor
enzalutamide,Atenolol,Anaemia,1.11111,Minor
Warfarin,Chlorthalidone,Anaemia,6.66667,Major
Testosterone,Sotalol,Anaemia,3.33333,Moderate
atorvastatin,nebivolol,Anaemia,1.875,Minor
oxcarbazepine,heparin,Anaemia,5.0,Major
Clavulanate,Aluminum Hydroxide,Anaemia,10.0,Major
Bisacodyl,dronedarone,Anaemia,5.0,Major
Sumatriptan,Glipizide,Pancytopenia,10.0,Major
Midazolam,Sufentanil,Anaemia,1.01266,Minor
enfuvirtide,clopidogrel,Anaemia,5.0,Major
